epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2360.84,0.7034,0.54337,1.13189,0.82808,0.784,0.85975,0.62586,0.89118,0.65674,1.3277,0.000699312,0.000699312,0.000699312
91,2385.13,0.70107,0.5333,1.13073,0.79129,0.74365,0.83036,0.60465,0.93027,0.66576,1.36478,0.000693125,0.000693125,0.000693125
92,2409.3,0.70141,0.53798,1.13666,0.83944,0.76386,0.86601,0.62217,0.89706,0.61732,1.31474,0.000686937,0.000686937,0.000686937
93,2433.52,0.70106,0.53169,1.12895,0.84539,0.75139,0.84383,0.61846,0.89844,0.65968,1.33559,0.00068075,0.00068075,0.00068075
94,2457.69,0.69486,0.53277,1.1359,0.82992,0.73806,0.8309,0.60937,0.91292,0.6592,1.35181,0.000674562,0.000674562,0.000674562
95,2481.99,0.68876,0.53651,1.12718,0.77983,0.81282,0.84914,0.63013,0.90777,0.69557,1.36074,0.000668375,0.000668375,0.000668375
96,2506.22,0.69152,0.53204,1.12701,0.84005,0.75023,0.84266,0.62697,0.9197,0.67101,1.36581,0.000662188,0.000662188,0.000662188
97,2530.46,0.68681,0.52268,1.12187,0.8036,0.76819,0.82887,0.61146,0.91088,0.66602,1.35736,0.000656,0.000656,0.000656
98,2554.68,0.67694,0.51746,1.11589,0.79998,0.78842,0.85839,0.61859,0.92703,0.68058,1.34545,0.000649813,0.000649813,0.000649813
99,2578.94,0.69708,0.52482,1.11736,0.75664,0.76795,0.81276,0.59215,0.92509,0.68887,1.37415,0.000643625,0.000643625,0.000643625
100,2603.22,0.68756,0.5248,1.1153,0.75741,0.83884,0.82744,0.60099,0.90385,0.66927,1.32932,0.000637437,0.000637437,0.000637437
101,2627.48,0.6815,0.51658,1.12259,0.76712,0.87183,0.87247,0.62399,0.92234,0.67011,1.36821,0.00063125,0.00063125,0.00063125
102,2651.78,0.66541,0.4982,1.10454,0.82652,0.80334,0.85558,0.61771,0.93066,0.64498,1.38772,0.000625062,0.000625062,0.000625062
103,2676.11,0.66535,0.51247,1.11521,0.83993,0.77503,0.85872,0.61679,0.91499,0.67193,1.36136,0.000618875,0.000618875,0.000618875
104,2700.3,0.6744,0.51874,1.1163,0.82548,0.80666,0.86684,0.62574,0.91188,0.64106,1.35856,0.000612687,0.000612687,0.000612687
105,2724.55,0.66771,0.5132,1.11478,0.80893,0.81716,0.86842,0.62177,0.90471,0.63187,1.35894,0.0006065,0.0006065,0.0006065
106,2748.81,0.67627,0.50212,1.12312,0.82432,0.81015,0.86599,0.62788,0.90749,0.6678,1.3335,0.000600313,0.000600313,0.000600313
107,2772.99,0.67322,0.51384,1.1164,0.78913,0.79855,0.82432,0.59905,0.89927,0.66869,1.31786,0.000594125,0.000594125,0.000594125
108,2797.2,0.67122,0.51556,1.11954,0.85927,0.76564,0.85295,0.61419,0.89053,0.65685,1.32765,0.000587938,0.000587938,0.000587938
109,2821.38,0.67441,0.51448,1.11257,0.86159,0.77005,0.86377,0.61458,0.88869,0.62235,1.32438,0.00058175,0.00058175,0.00058175
